employee_id,age,salary,performance_score,hours_worked_per_week,attrition,salary_per_experience,workload_score,experience_ratio,perf_satisfaction_index,department_Finance,department_HR,department_Marketing,department_Operations,department_Sales,education_level_High School,education_level_Master,education_level_PhD
1001,50.0,56209.71467998554,9.2,35.26002006906639,1,2676.6530799993116,2.5488770945452197,0.39215686274509803,51.519999999999996,0,0,0,1,0,0,0,0
1002,36.0,65881.26794551304,4.1,45.22552968608417,0,13176.25358910261,3.269264069610242,0.10810810810810811,22.959999999999997,1,0,0,0,0,0,0,0
1003,29.0,57166.54968323287,5.1,43.618614519073134,1,9527.758280538812,1.7915359950050043,0.16666666666666666,38.25,0,0,0,0,0,0,0,1
1004,42.0,68296.09914660719,7.1,46.33671939840299,0,3104.368143027599,4.415368340569727,0.4883720930232558,29.82,1,0,0,0,0,0,0,0
1005,40.0,59494.70209636926,5.9,42.323211854361574,0,4463.701069565936,4.241525831241161,0.3006965556879522,23.01,1,0,0,0,0,0,0,0
1006,44.0,45744.77725347398,4.1,50.782176167773066,0,3267.4840895338557,3.670943050845068,0.28888888888888886,22.959999999999997,0,0,0,1,0,0,0,0
1007,32.0,46941.41075607366,4.9,42.323211854361574,0,4694.141075607366,0.764865313830373,0.2727272727272727,43.61000000000001,0,1,0,0,0,0,1,0
1008,32.0,45235.914370612445,8.2,47.446125989244536,1,3989.0177262355774,6.7036737764011844,0.3133367772973131,11.479999999999999,0,0,0,0,1,1,0,0
1009,45.0,74563.51097901464,3.5,35.62448591634381,0,2405.27454771015,1.0535005675669769,0.6521739130434783,28.699999999999996,0,0,0,0,0,1,0,0
1010,57.0,50738.30081311353,2.3,60.8676223094129,0,1691.276693770451,5.7,0.5,9.889999999999999,0,0,0,1,0,0,0,0
1011,45.0,60656.46717581365,3.8,42.323211854361574,0,5760.216880599772,0.9039317345268053,0.207179134099525,33.059999999999995,0,1,0,0,0,0,0,0
1012,24.0,65952.57998773208,8.6,60.8676223094129,0,4414.6858474956425,1.8000000000000007,0.5575743893545275,70.52,0,0,0,0,1,0,0,1
1013,43.0,82717.76343884371,1.8,48.62081581060837,1,13786.293906473953,4.712896650116516,0.11363636363636363,7.38,0,0,0,0,1,0,0,1
1014,23.0,71596.2478376629,9.9,37.50828514505053,0,2468.8361323332033,1.7254361912195166,1.1666666666666667,71.28,0,0,0,1,0,0,1,0
1015,45.0,50950.14652167432,5.9,48.635046348713566,0,6368.76831520929,6.07262676322847,0.15217391304347827,14.16,0,0,1,0,0,0,1,0
1016,51.0,36197.82426607366,9.9,49.20462254554573,1,1096.9037656385956,0.7275487132695643,0.6153846153846154,90.09,0,0,0,0,0,0,1,0
1018,23.0,57611.64182854935,5.1,47.04313977625645,0,5237.421984413577,3.7870936329972116,0.4166666666666667,26.009999999999998,0,0,0,1,0,0,1,0
1019,42.0,45462.00584529351,2.8,48.0938170352614,0,3497.0773727148853,2.054358615423395,0.27906976744186046,20.72,0,0,0,1,0,0,0,0
1020,54.0,60656.46717581365,2.5,34.05055191387407,0,5514.224288710331,0.8950716488521892,0.18181818181818182,21.0,0,1,0,0,0,0,0,0
1021,33.0,87699.39751245709,3.2,33.481132762160385,0,2829.012822982487,3.795446697170895,0.8823529411764706,9.920000000000002,0,0,1,0,0,0,1,0
1022,43.0,63334.24076187426,7.4,35.64626401108453,0,2261.9371700669376,1.756907662494909,0.6136363636363636,51.800000000000004,0,0,0,0,0,0,0,0
1023,46.0,62407.143104982686,3.5,43.02033915496408,0,10401.190517497114,3.887319010910526,0.10638297872340426,15.75,1,0,0,0,0,0,1,0
1024,48.0,45941.57926749266,4.1,40.21463062821264,1,2871.3487042182915,3.765933116552241,0.30612244897959184,17.63,0,1,0,0,0,0,0,0
1025,49.0,80961.22054590558,5.0,34.19543547261641,0,20240.305136476396,1.5730402419303813,0.06,36.0,0,0,0,0,1,0,1,0
1026,37.0,58872.83749784975,9.2,48.202513684157175,0,1682.0810713671358,4.355580441686906,0.8947368421052632,41.4,0,0,0,0,1,1,0,0
1027,36.0,51315.55117208744,2.7,44.26435856109184,0,1973.6750450802863,4.290617993633287,0.6756756756756757,11.07,0,1,0,0,0,0,1,0
1028,24.0,60668.458168657795,1.0,43.35143193096683,1,5055.70484738815,1.0683372444859587,0.44,8.5,0,0,0,1,0,0,1,0
1029,58.0,67079.41999869913,1.5,39.93608555860852,0,6098.12909079083,5.314521592125736,0.1694915254237288,2.8499999999999996,0,0,0,0,1,0,0,0
1030,28.0,62088.23112967355,9.1,38.97417518107542,0,2483.529245186942,1.8569003311903627,0.8275862068965517,64.61,0,0,1,0,0,0,0,0
1031,42.0,78092.30093505888,6.8,35.26935070552819,0,4338.461163058827,3.940216090230008,0.3953488372093023,21.76,0,0,0,0,0,1,0,0
1032,30.0,65759.57328820294,3.5,49.4699223402987,0,3461.0301730633128,7.233440244971928,0.5806451612903226,3.8500000000000005,0,0,1,0,0,0,0,0
1033,39.0,55740.87283676198,2.6,42.323211854361574,1,2423.516210293999,5.214990776116181,0.55,6.5,0,0,0,0,1,0,1,0
1034,25.0,61176.44098527964,3.6,43.67512373354253,0,3398.691165848869,3.157188290528458,0.6538461538461539,20.16,1,0,0,0,0,0,0,1
1035,46.0,67494.55651688937,2.0,55.29608317017627,0,3428.8363159298933,2.3620080888263137,0.3975402452064785,14.8,0,0,0,0,0,0,0,0
1036,35.0,40554.36121104237,9.5,39.3419380424852,0,5516.224052720072,5.687901738858133,0.17643982159340427,11.4,0,0,0,0,0,0,1,0
1037,30.0,60656.46717581365,8.1,49.68561712575355,0,3475.385880246854,7.101720957600278,0.5307471092687399,10.53,0,1,0,0,0,0,1,0
1038,47.0,55486.439709579616,5.2,46.54967212828539,1,1913.3255072268832,0.6882921219181259,0.5833333333333334,47.32,0,1,0,0,0,0,0,0
1039,23.0,55870.15164741855,8.8,44.491740506088426,0,2290.1276701787783,6.06696026868502,0.9748369176629255,14.96,1,0,0,0,0,0,1,0
1040,41.0,71270.63980613918,3.2,45.442787535238025,0,4192.390576831716,0.7465839112991031,0.38095238095238093,28.8,0,0,0,1,0,0,1,0
1041,49.0,71207.47836389372,7.5,42.323211854361574,0,4450.467397743358,4.797791514026888,0.3,23.25,0,0,0,0,0,0,0,0
1042,28.0,49487.52481700872,8.7,42.278207750347526,0,24743.76240850436,1.5975632715122765,0.034482758620689655,66.99,1,0,0,0,0,0,0,0
1043,29.0,60656.46717581365,4.2,37.61508841419421,0,1784.0137404651073,3.831487732221449,1.1,15.959999999999999,0,1,0,0,0,1,0,0
1044,56.0,60656.46717581365,7.8,42.33165696907271,0,7582.058396976706,0.9041121038053795,0.12280701754385964,67.86,0,1,0,0,0,0,0,1
